timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T14:33:57.759+0000,503,3,Wazuh agent started.,,vbox,0,
2026-07-13T14:34:00.718+0000,2501,5,syslog: User authentication failure.,,vbox,0,
2026-07-13T14:34:09.620+0000,502,3,Wazuh server started.,,UbuntuWazuh,0,
2026-07-13T14:34:20.605+0000,19011,9,Center for Internet Security Debian Linux 12 Benchmark v1.1.0: Ensure web server,,vbox,0,
2026-07-13T14:34:25.288+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T14:34:29.269+0000,19004,7,SCA summary: Center for Internet Security Debian Linux 12 Benchmark v1.1.0: Scor,,vbox,0,
2026-07-13T14:34:29.492+0000,19010,3,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are i,,UbuntuWazuh,0,
2026-07-13T14:34:31.601+0000,40704,5,Systemd: Service exited due to a failure.,,UbuntuWazuh,0,
2026-07-13T14:34:34.971+0000,5104,8,Interface entered in promiscuous(sniffing) mode.,,vbox,0,
2026-07-13T14:34:40.039+0000,19004,7,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (,,UbuntuWazuh,0,
2026-07-13T15:00:18.277+0000,52002,3,Apparmor DENIED,,UbuntuWazuh,0,
2026-07-13T15:06:17.448+0000,5503,5,PAM: User login failed.,192.168.30.8,vbox,0,
2026-07-13T15:06:19.407+0000,5760,5,sshd: authentication failed.,192.168.30.8,vbox,0,
2026-07-13T15:06:41.455+0000,5503,5,PAM: User login failed.,192.168.30.8,vbox,0,
2026-07-13T15:06:43.412+0000,5760,5,sshd: authentication failed.,192.168.30.8,vbox,0,
2026-07-13T15:07:29.434+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:07:29.434+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:07:29.435+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:07:29.438+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:07:29.440+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:07:29.443+0000,5502,3,PAM: Login session closed.,,vbox,0,
